title,genre,release_date,popularity,vote_average,vote_count,runtime,original_language
Egg,drama,2007,0.74,4.8,8,97.0,tr
Genesis,drama foreign horror romance,1998,0.83,6.7,16,30.0,en
Housefull 2,comedy drama romance,2012,1.05,5.0,28,145.0,hi
Agent Vinod,action foreign,2012,1.21,5.3,17,157.0,hi
Lust for Gold,drama,1974,0.07,0.0,0,86.0,ro
Keeping the Promise,drama,1997,0.34,0.0,0,0.0,en
Helsinki Napoli - All Night Long,comedy crime,1987,0.0,6.0,1,0.0,en
Appropriate Adult,action adventure animation comedy crime documentary drama family fantasy foreign history horror music mystery romance science tv thriller war western,2011,0.99,7.0,3,180.0,en
Rush: Beyond the Lighted Stage,documentary music,2010,0.84,8.2,21,107.0,en
Position Among the Stars,documentary history,2011,0.49,9.0,3,109.0,en
The Second Time Around,family western,1961,0.04,4.0,1,99.0,en
Black Pond,comedy,2011,0.64,5.3,7,83.0,en
Hysteria,comedy romance,2011,14.33,6.6,262,100.0,en
Dante's Inferno: An Animated Epic,action adventure animation horror,2010,13.16,6.0,62,84.0,en
Androcles and the Lion,comedy,1952,0.19,6.3,4,98.0,en
Naked Ambition: An R Rated Look at an X Rated Industry,documentary,2009,1.37,4.3,11,0.0,en
The Atomic Submarine,science thriller,1959,0.46,5.8,8,72.0,en
The White Darkness,documentary history,2002,0.14,6.3,4,48.0,en
Icarus XB 1,science,1963,1.41,6.7,16,83.0,cs
In The Hands Of The Gods,documentary foreign,2007,0.09,5.0,2,106.0,en
The Catechism Cataclysm,comedy,2011,0.32,3.9,7,75.0,en
The Devil's Rock,fantasy horror thriller war,2011,4.42,5.7,32,83.0,en
The First Texan,history western,1956,0.51,3.2,3,82.0,en
Good-bye: My Lady,drama,1956,1.04,7.5,2,94.0,en
Nob Hill,drama music,1945,0.97,3.0,2,95.0,en
Bride Flight,drama,2008,2.07,6.9,10,130.0,en
The Scarlet Letter,drama tv,1979,0.19,0.0,0,240.0,en
Safe,action crime thriller,2012,8.23,6.3,808,94.0,en
The Fairy,comedy drama,2011,1.29,6.1,17,93.0,fr
Ella Lola: a la Trilby,action adventure animation comedy crime documentary drama family fantasy foreign history horror music mystery romance science tv thriller war western,1898,0.06,4.0,1,1.0,en
L'outremangeur,crime drama,2002,0.55,8.0,2,,fr
A Story Written with Water,drama,1965,0.37,8.5,2,120.0,ja
Ciao Bella,drama foreign romance,2007,0.48,5.0,1,86.0,en
Columbus Circle,crime drama mystery thriller,2012,4.46,5.9,79,82.0,en
The Decoy Bride,comedy drama romance,2011,11.03,6.1,68,89.0,en
The Clown,comedy drama,2011,2.59,7.2,41,90.0,pt
Turkish Dance: Ella Lola,action adventure animation comedy crime documentary drama family fantasy foreign history horror music mystery romance science tv thriller war western,1898,0.1,4.5,2,1.0,en
Vicky Donor,comedy romance,2012,1.98,6.9,37,122.0,hi
Small Town of Anara,comedy,1978,0.07,7.0,1,90.0,ka
Bombay Talkie,drama foreign romance,1970,0.0,6.0,1,112.0,en
Border Radio,drama,1987,0.31,4.9,4,83.0,en
Keyhole,action drama thriller,2011,3.39,5.8,12,94.0,en
My Blue Heaven,drama music,1950,0.0,0.0,0,95.0,en
Chains,action adventure animation comedy crime documentary drama family fantasy foreign history horror music mystery romance science tv thriller war western,1949,0.5,7.0,2,90.0,it
Pine Flat,action adventure animation comedy crime documentary drama family fantasy foreign history horror music mystery romance science tv thriller war western,2006,0.05,0.0,0,138.0,en
Chernobyl Diaries,horror thriller,2012,6.77,4.9,492,88.0,en
You Can't Win 'Em All,adventure comedy war,1970,1.1,6.1,7,97.0,en
Hick,comedy drama,2011,6.22,5.6,156,99.0,en
Ten North Frederick,drama romance,1958,0.11,7.0,2,102.0,en
Inhale,action drama thriller,2010,4.16,6.3,39,100.0,en
Berlin '36,drama history,2009,0.73,4.0,7,100.0,de
Ladies They Talk About,crime drama,1933,1.53,5.8,11,69.0,en
There Be Dragons,drama,2011,9.53,5.8,28,112.0,en
5 Days of War,drama war,2011,3.17,5.8,63,113.0,en
The Importance of Tying Your Own Shoes,comedy drama,2011,0.51,5.9,13,96.0,sv
The Peach Thief,drama romance war,1964,0.19,6.0,3,84.0,bg
Vares - The Kiss of Evil,action crime,2011,1.28,6.2,11,94.0,fi
Eaux d'artifice,music,1953,0.37,7.2,10,12.0,en
Dragon Ball: Curse of the Blood Rubies,action animation,1986,2.71,6.2,46,50.0,ja
This Special Friendship,drama,1964,0.34,6.8,7,99.0,fr
Dragon Ball Z: The World's Strongest,action animation,1990,6.22,6.1,86,60.0,ja
First Position,comedy documentary drama,2011,1.55,7.9,19,90.0,en
Wings in the Dark,adventure romance,1935,0.47,4.8,4,75.0,en
Detention,comedy horror science,2011,7.75,5.7,130,93.0,en
Taxi Hunter,thriller,1993,0.01,0.0,0,89.0,cn
One Man Band,animation family,2005,4.41,7.2,128,4.0,en
A Map For Saturday,documentary,2007,0.36,7.2,10,90.0,en
Dragon Ball Z: Return of Cooler,action animation,1992,5.47,6.7,100,46.0,ja
Norman,comedy drama,2010,4.62,6.0,14,97.0,en
Dragon Ball Z: Super Android 13,action animation,1992,4.85,6.6,81,46.0,ja
Virtual JFK: Vietnam If Kennedy Had Lived,action adventure animation comedy crime documentary drama family fantasy foreign history horror music mystery romance science tv thriller war western,2008,0.04,7.0,1,0.0,fr
The Barchester Chronicles,action adventure animation comedy crime documentary drama family fantasy foreign history horror music mystery romance science tv thriller war western,1982,0.03,9.0,1,370.0,en
Noroi: The Curse,horror mystery thriller,2005,2.8,6.9,59,115.0,ja
Blacksmith Scene,drama,1893,1.06,5.8,19,1.0,xx
Beasts of the Southern Wild,drama fantasy,2012,5.55,6.8,411,93.0,en
Dynamite,drama,1929,0.89,5.0,1,129.0,en
People Like Us,drama,2012,14.91,6.6,206,114.0,en
Crazed Fruit,drama romance,1956,0.44,7.5,10,86.0,ja
Flame and Women,drama foreign,1967,0.18,6.7,3,101.0,ja
The Flying Fleet,adventure drama romance,1929,0.01,0.0,0,100.0,en
Oneway-Ticket to Korsør,comedy drama romance,2008,0.18,4.0,1,104.0,da
Once Upon A Time in Phuket,comedy,2011,1.16,5.4,11,105.0,sv
The War,documentary history war,2007,0.49,5.3,3,874.0,en
The Union,documentary music,2012,0.36,10.0,1,87.0,en
The Perfect Roommate,crime mystery tv thriller,2011,1.18,3.7,5,100.0,en
Geri's Game,animation family,1997,4.77,7.8,309,4.0,en
Madea's Witness Protection,comedy crime drama,2012,7.02,5.8,53,114.0,en
Some Guy Who Kills People,comedy horror thriller,2011,3.06,5.7,45,97.0,en
No Problem,comedy foreign,2010,0.78,3.7,5,140.0,hi
Someday This Pain Will Be Useful to You,comedy drama,2011,1.68,5.6,39,96.0,en
Dragon Ball Z: Broly - Second Coming,action animation,1994,6.13,6.5,102,48.0,ja
Knick Knack,animation,1989,5.51,7.1,135,4.0,en
The Craigslist Killer,drama thriller,2011,2.39,4.6,16,95.0,en
Infection,drama foreign horror science,2004,1.41,6.4,28,98.0,ja
The Angels' Share,comedy drama,2012,12.81,7.0,142,101.0,en
Carbon Nation,documentary,2011,0.11,7.0,2,86.0,en
A Dangerous Man,action adventure thriller,2009,4.46,5.1,37,94.0,en
Dikkenek,comedy,2006,7.35,6.8,165,84.0,fr
Dragon Ball Z: The History of Trunks,action adventure animation,1993,3.78,7.0,81,48.0,ja
The Kiss,drama romance,1896,0.9,5.0,24,1.0,en
Stash House,action thriller,2012,2.39,5.0,22,95.0,en
Decoys 2: Alien Seduction,horror science,2007,7.52,5.4,13,94.0,en
Ax 'Em,horror,1992,0.21,1.3,3,70.0,en
Hierro,mystery thriller,2009,1.91,6.1,21,94.0,es
The Legend of Bigfoot,documentary,1976,0.11,3.3,3,76.0,en
Neil Young Journeys,documentary music,2012,0.31,7.5,2,87.0,en
The Capture of Bigfoot,adventure horror science,1979,0.04,5.0,1,92.0,en
Bag It,comedy documentary,2011,0.59,3.6,6,74.0,en
The Householder,drama,1963,0.0,0.0,0,100.0,en
Brake,action thriller,2012,9.21,5.3,75,92.0,en
Amish Grace,drama,2010,1.04,6.3,10,88.0,en
Female Agents,action history thriller war,2008,5.27,6.8,57,117.0,fr
The Cub Tiger from Kwang Tung,action comedy drama,1973,7.95,4.9,19,80.0,cn
Heroic Purgatory,drama foreign,1970,0.21,8.6,5,118.0,ja
Little Birds,drama,2011,9.92,6.0,35,94.0,en
In Custody,drama foreign,1994,0.0,0.0,0,126.0,en
The Great Sacrifice,drama,1944,0.13,6.0,3,98.0,de
Operación Cannabis,action adventure comedy,2009,0.01,0.0,0,,es
War of the Arrows,action drama history thriller,2011,7.03,6.7,68,122.0,ko
Goats,comedy,2012,3.38,5.4,29,92.0,en
The Family Tree,comedy drama,2011,6.99,4.9,15,87.0,en
Funeral Parade of Roses,drama,1969,3.5,7.1,21,104.0,ja
Lawless,crime drama,2012,7.97,6.8,1055,115.0,en
Man Is Not a Bird,drama,1965,0.55,6.5,5,72.0,sh
ATM,horror thriller,2012,8.95,5.1,195,90.0,en
The Wave,drama family,1981,0.93,7.2,23,44.0,en
American Mullet,documentary,2001,0.1,6.0,1,0.0,en
Searching for Sugar Man,documentary music,2012,6.25,7.9,286,85.0,en
Little White Lies,comedy drama,2010,7.59,7.1,396,154.0,fr
French Film,comedy romance,2008,1.02,6.1,5,87.0,en
The Great Northfield Minnesota Raid,action western,1972,1.57,6.0,11,91.0,en
The Mikado,comedy drama foreign music romance,1987,0.07,0.0,0,130.0,en
The Model Couple,comedy drama foreign,1977,0.22,4.1,4,101.0,fr
The Cold Light of Day,action thriller,2012,11.11,4.8,277,93.0,en
Flowing,drama,1956,1.12,7.3,4,117.0,ja
Runaway Brain,animation,1995,1.02,5.9,11,10.0,en
Deathstalker II,action adventure comedy fantasy,1987,1.72,4.0,14,85.0,en
Emergo,horror thriller,2011,7.18,5.0,100,80.0,en
Stag Night,action horror thriller,2008,1.5,4.3,19,84.0,en
360,drama romance,2012,7.1,5.7,81,110.0,en
More Wild Wild West,tv western,1980,0.11,6.0,1,94.0,en
Dredd,action science,2012,12.15,6.6,1971,95.0,en
The Liquidator,action crime foreign thriller,2011,2.96,5.3,4,94.0,ru
Rain over Santiago,drama thriller,1975,0.44,6.0,3,112.0,fr
Puckoon,comedy,2002,0.03,0.0,0,82.0,en
Blood Money,action foreign thriller,2012,1.05,4.5,6,106.0,en
Holy Motors,drama fantasy,2012,7.34,7.0,232,115.0,en
The Hunter,drama thriller,2010,0.88,6.8,8,90.0,fa
Behind the Burly Q,documentary,2010,0.39,5.5,3,97.0,en
The Rocky Saga: Going the Distance,documentary,2011,0.49,4.5,4,120.0,en
The Paperboy,thriller,2012,5.53,5.4,244,107.0,en
The Crush,drama romance,1967,0.04,10.0,1,49.0,it
The Newest Pledge,comedy,2012,0.01,0.0,0,85.0,en
2016: Obama's America,documentary,2012,1.22,4.6,19,87.0,en
Love Lasts Three Years,comedy romance,2011,5.02,5.8,119,98.0,fr
Volcano,drama,2011,1.24,7.0,10,95.0,is
Lightnin',comedy drama,1925,0.09,5.0,1,104.0,en
The Tall Man,horror mystery thriller,2012,7.97,5.7,339,106.0,en
The Painted Veil,drama romance,1934,0.63,5.2,5,85.0,en
Upstream,action adventure animation comedy crime documentary drama family fantasy foreign history horror music mystery romance science tv thriller war western,1927,0.13,5.0,1,60.0,en
Goke: Body Snatcher from Hell,horror science thriller,1968,0.46,7.2,8,84.0,ja
The Living Skeleton,horror,1968,0.81,5.3,6,81.0,en
Ishaqzaade,action drama romance,2012,1.2,6.4,23,132.0,hi
Glorious Technicolor,documentary,1998,0.92,7.0,1,60.0,en
Tank on the Moon,action adventure animation comedy crime documentary drama family fantasy foreign history horror music mystery romance science tv thriller war western,2007,0.0,0.0,0,0.0,en
Blood of Dracula,horror,1957,0.31,4.3,6,68.0,en
Colin Quinn: Long Story Short,comedy tv,2011,0.11,6.8,2,83.0,en
Shottas,action adventure crime drama,2002,2.01,7.4,38,95.0,en
Sapphire,crime drama mystery thriller,1959,1.76,6.7,12,92.0,en
Side by Side,documentary,2012,6.34,7.1,111,99.0,en
Shadowing the Third Man,documentary,2004,0.02,0.0,0,95.0,
Making 'Do the Right Thing',documentary,1989,0.55,0.0,0,60.0,en
Daleks' Invasion Earth: 2150 A.D.,science,1966,3.0,6.2,23,81.0,en
Fat Kid Rules The World,comedy drama,2012,1.15,6.3,14,98.0,en
Love in the Time of Hysteria,comedy drama foreign romance,1991,0.87,6.8,13,94.0,en
Creature from the Haunted Sea,comedy horror,1961,0.3,3.3,6,63.0,en
Seven Psychopaths,comedy crime,2012,9.64,6.7,1224,110.0,en
Ator: the Fighting Eagle,action adventure fantasy,1982,0.88,3.6,13,98.0,it
The Tattooed Widow,action adventure animation comedy crime documentary drama family fantasy foreign history horror music mystery romance science tv thriller war western,1998,0.01,0.0,0,0.0,sv
Vivien Leigh: Scarlett And Beyond,action adventure animation comedy crime documentary drama family fantasy foreign history horror music mystery romance science tv thriller war western,1990,0.0,0.0,0,0.0,en
The Return of Frank Cannon,action crime thriller,1980,0.08,6.0,2,96.0,en
The Letter,drama,2012,1.27,3.8,8,92.0,en
Three Resurrected Drunkards,comedy drama foreign,1968,0.66,5.0,3,80.0,ja
Les Visiteurs du Soir,drama fantasy,1942,0.83,7.6,12,120.0,fr
The Ernest Film Festival,comedy,1986,0.0,0.0,0,55.0,en
Moebius Redux: A Life in Pictures,documentary tv,2007,0.43,0.0,0,68.0,en
Dive!,documentary,2010,0.12,6.2,3,53.0,en
How to Survive a Plague,documentary,2012,1.2,7.5,17,120.0,en
Gangs of Wasseypur,action crime thriller,2012,9.78,7.0,83,320.0,hi
Greystone Park,horror thriller,2012,3.43,3.9,12,79.0,en
Girl in Progress,comedy drama,2012,2.8,5.3,48,93.0,en
Astérix and Obélix: God Save Britannia,adventure comedy family,2012,9.72,4.9,326,110.0,fr
My Forbidden Past,drama,1951,0.97,6.0,4,70.0,en
Turkish Passion,drama,1994,1.11,5.2,12,112.0,es
Un Dimanche à Kigali,drama,2006,0.13,7.8,2,118.0,fr
Transit,action crime drama thriller,2012,3.76,5.7,87,88.0,en
Where the Boys Are '84,comedy romance,1984,0.17,4.6,4,94.0,en
The White Angel,drama,1955,0.57,5.0,1,100.0,it
A Feast At Midnight,family,1994,0.25,3.0,2,105.0,en
The Ambassador,documentary,2011,0.68,6.8,15,93.0,en
Hellboy: The Seeds of Creation,action adventure animation comedy crime documentary drama family fantasy foreign history horror music mystery romance science tv thriller war western,2004,0.3,8.5,2,143.0,en
Rx (Simple Lies),action crime drama thriller,2005,2.98,5.8,6,89.0,en
The Girl,drama tv,2012,8.46,5.8,35,91.0,en
Step Up Love Story,animation,2000,0.32,2.0,1,120.0,en
Holiday Affair,comedy romance,1949,1.99,6.8,16,87.0,en
Beware the Moon: Remembering 'An American Werewolf in London',documentary,2009,0.15,8.0,4,98.0,en
The Piano in a Factory,drama foreign,2011,0.54,7.2,11,107.0,zh
Lana Turner... a Daughter's Memoir,documentary,2001,0.04,9.0,1,86.0,en
Making the Earth Stand Still,documentary,1995,0.0,0.0,0,70.0,en
A Child Is Waiting,drama,1963,9.54,6.1,15,102.0,en
Submarine X-1,action war,1969,0.57,5.3,5,89.0,en
What Richard Did,drama,2012,3.51,5.5,27,87.0,en
Kounterfeit,action crime drama thriller,1996,1.31,4.5,2,90.0,en
Smashed,drama,2012,4.89,6.3,88,85.0,en
Diplomatic Siege,action thriller,1999,0.57,4.7,3,90.0,en
The Man with the Iron Fists,action,2012,8.31,5.2,369,96.0,en
Mother Knows Best,action adventure animation comedy crime documentary drama family fantasy foreign history horror music mystery romance science tv thriller war western,1997,0.45,3.0,1,96.0,en
The Hypnotist,crime drama thriller,2012,9.09,5.3,51,121.0,sv
The Details,comedy drama,2012,5.14,5.9,64,96.0,en
A Late Quartet,drama music,2012,11.04,6.6,80,105.0,en
Vexille,action animation science,2007,9.8,6.8,53,109.0,ja
Sleepless Night,action comedy romance thriller,2011,2.94,6.0,48,98.0,fr
Stolen,action crime drama thriller,2012,7.76,5.1,345,96.0,en
Himizu,crime drama,2011,3.16,7.4,34,129.0,ja
The Well Digger's Daughter,drama romance,2011,11.97,6.7,60,107.0,fr
Death Weekend,horror thriller,1976,0.0,6.4,7,87.0,en
Cockneys vs Zombies,comedy horror,2012,11.21,5.8,141,88.0,en
Citadel,drama horror thriller,2012,9.19,5.1,52,85.0,en
Wishmaster 2: Evil Never Dies,fantasy horror,1999,2.92,5.0,53,96.0,en
Thurgood,drama,2011,1.32,5.8,5,105.0,en
Babbitt,drama,1934,0.56,0.0,0,74.0,en
The Moth Diaries,horror,2011,3.48,4.8,34,85.0,en
The Invisible War,crime documentary drama history,2012,7.47,7.4,38,93.0,en
The Circle,comedy,1925,0.13,7.0,1,66.0,en
The Year 01,comedy,1973,0.65,7.6,5,90.0,fr
Ten Seconds to Hell,action drama romance war,1959,0.83,6.2,3,93.0,en
Storage 24,horror science,2012,3.67,3.9,52,87.0,en
So Big!,drama romance,1932,0.11,4.3,3,81.0,en
The Singing Marine,comedy romance,1937,0.06,0.0,0,105.0,en
Two Sisters From Boston,comedy music,1946,0.0,0.0,0,112.0,en
The Quare Fellow,drama,1962,0.41,6.8,3,85.0,en
Watch the Birdie,comedy crime romance,1950,0.22,5.7,3,71.0,en
Journey to Saturn,action adventure animation comedy science,2008,2.14,4.9,10,90.0,en
The Yellow Cab Man,comedy drama romance,1950,0.07,0.0,0,85.0,en
Making 'The New World',documentary,2006,0.0,0.0,0,82.0,en
Nightmare Man,comedy horror thriller,2006,1.36,4.0,13,89.0,en
Hold Up,action crime,2010,1.06,6.8,20,90.0,no
Tarda estate,drama,2010,0.01,0.0,0,,it
Raw Deal: A Question Of Consent,documentary,2001,0.02,0.0,0,90.0,en
Budd Boetticher: An American Original,documentary,2005,0.0,0.0,0,51.0,en
James Dean Remembered,action adventure animation comedy crime documentary drama family fantasy foreign history horror music mystery romance science tv thriller war western,1974,0.01,0.0,0,67.0,en
Bed of Roses,comedy drama romance,1933,0.03,0.0,0,67.0,en
Baby Take a Bow,drama family,1934,1.7,5.2,7,76.0,en
The Tempest,drama fantasy science,1980,0.0,0.0,0,123.0,en
The 36 Crazy Fists,action comedy,1977,0.46,5.0,3,90.0,zh
Aftermath,drama mystery thriller,2012,1.38,6.0,20,107.0,pl
We Should Not Exist,comedy drama,2006,0.15,6.8,2,0.0,fr
Arcade,fantasy horror science thriller,1993,1.31,5.0,2,85.0,en
Bad Ass,action drama,2012,5.93,5.3,141,90.0,en
Peace: Love & Misunderstanding,comedy drama romance,2011,8.36,5.7,43,96.0,en
Fever,drama thriller,1991,0.33,5.0,1,99.0,en
Interceptor,action thriller,1992,0.5,5.6,5,92.0,en
Peppermint Soda,comedy drama,1977,0.86,7.0,7,97.0,fr
Just Around the Corner,comedy music,1938,0.4,7.7,3,70.0,en
Lulu in Berlin,documentary,1984,0.0,0.0,0,50.0,en
Purge,drama history,2012,6.08,6.7,23,125.0,fi
The Day He Arrives,drama foreign,2011,1.04,6.9,27,79.0,ko
The Awful Truth,action adventure animation comedy crime documentary drama family fantasy foreign history horror music mystery romance science tv thriller war western,,0.0,0.0,0,0.0,en
Looking for Jackie,action comedy family foreign,2009,4.63,4.4,17,85.0,en
Memory,mystery science thriller,2006,1.53,4.7,9,98.0,en
Snowmageddon,adventure science,2011,5.28,5.0,12,86.0,en
Little Miss Broadway,drama family music,1938,0.58,9.0,2,72.0,en
I am Von Höfler Variation on Werther,documentary,2008,0.0,0.0,0,160.0,en
The Fitzgerald Family Christmas,drama family,2012,1.23,6.5,7,103.0,en
The Enforcer,action crime thriller,1995,2.57,5.8,25,104.0,en
Contract Killer,action comedy,1998,9.57,6.2,30,103.0,en
The Executor,action crime drama,1981,0.0,6.0,1,95.0,cn
How to Make Love to a Woman,comedy romance,2010,2.29,4.9,18,91.0,en
After Fall: Winter,drama romance,2012,0.31,5.7,8,130.0,en
RKO Production 601: The Making of 'Kong: the Eighth Wonder of the World',action adventure animation comedy crime documentary drama family fantasy foreign history horror music mystery romance science tv thriller war western,2005,0.29,8.0,1,0.0,en
The Prodigal,drama,1955,0.66,5.0,1,112.0,fr
Antiviral,horror science,2012,10.54,5.7,112,110.0,en
The Arrival of a Train at La Ciotat,documentary,1896,5.26,6.9,87,1.0,es
The Three Brothers,comedy,1995,3.97,7.2,119,105.0,en
Freeloaders,comedy,2012,4.51,4.3,14,77.0,en
The Immortal Story,drama tv,1968,0.62,7.3,10,63.0,fr
Wrong,comedy mystery,2012,11.35,6.0,105,94.0,fr
The Ring Finger,drama romance,2005,2.47,5.7,10,100.0,en
Stevie Nicks: Live at Red Rocks,action adventure animation comedy crime documentary drama family fantasy foreign history horror music mystery romance science tv thriller war western,1987,0.34,7.0,1,60.0,en
The Guilt Trip,comedy,2012,7.48,5.4,287,95.0,en
The Girl on a Motorcycle,action drama romance thriller,1968,0.9,5.1,7,91.0,en
The Monster,horror,1993,0.0,6.0,1,132.0,hi
Ohyaku: The Female Demon,action,1968,0.14,7.7,3,90.0,ja
Minecraft: The Story of Mojang,documentary,2012,0.81,6.5,18,104.0,en
11 Flowers,drama,2011,0.31,7.3,4,110.0,zh
That Hagen Girl,drama,1947,0.15,5.5,3,83.0,en
The Eye of the Storm,drama,2011,0.93,5.8,6,114.0,en
976-Evil II,horror,1992,2.85,4.3,14,93.0,en
Glenn: the Flying Robot,fantasy science,2010,0.74,4.1,5,84.0,en
Kevin Smith: Burn in Hell,comedy,2012,0.3,6.9,7,89.0,en
Lipton Cockton in the Shadows of Sodoma,drama mystery science,1995,0.07,6.0,1,83.0,fi
Snow on tha Bluff,drama,2011,0.82,6.6,14,79.0,en
John Dies at the End,comedy horror,2012,9.14,6.3,257,99.0,en
Young People,drama,1940,0.17,6.3,2,79.0,en
Rurouni Kenshin,action drama history,2012,7.92,7.2,174,134.0,ja
Les Misérables,drama history,2000,3.45,6.7,36,400.0,fr
Kenji Mizoguchi: The Life of a Film Director,documentary,1975,0.04,6.0,2,150.0,ja
Cornelis,drama,2010,0.44,6.6,5,101.0,sv
Neo Ned,drama romance,2005,0.49,5.6,5,97.0,en
Confessions of a Window Cleaner,comedy,1974,0.65,7.0,6,90.0,en
Dakota Skye,drama romance,2008,0.99,5.9,17,89.0,en
Private Romeo,drama romance,2011,1.69,4.9,21,99.0,en
Role/Play,drama romance,2010,0.59,4.1,7,85.0,en
The Visitors,crime drama thriller,1972,1.27,6.1,4,88.0,en
Mein Kampf,documentary drama foreign,2009,0.84,3.8,8,110.0,de
Texas Chainsaw 3D,horror thriller,2013,7.21,5.3,475,92.0,en
The Warrior and the Sorceress,action fantasy,1984,1.65,3.3,10,81.0,en
It's Such a Beautiful Day,animation comedy drama fantasy,2012,3.97,7.8,94,62.0,en
Sinners and Saints,action crime thriller,2010,7.95,5.7,31,104.0,en
Painted Lady,crime drama foreign mystery,1998,0.17,4.0,2,204.0,en
Beyond the Hills,drama romance,2012,4.75,7.2,54,150.0,ro
Pokémon the Movie White: Victini and Zekrom,adventure animation family,2011,2.53,5.8,32,96.0,ja
The Hand,animation drama,1965,0.47,8.2,13,18.0,cs
Jesse Stone: Sea Change,crime drama tv thriller,2007,2.91,6.8,22,88.0,en
Jesse Stone: Innocents Lost,crime drama mystery tv thriller,2011,2.62,6.1,18,90.0,en
The Candidate,thriller,2008,1.35,5.4,12,90.0,da
Careless Love,action adventure animation comedy crime documentary drama family fantasy foreign history horror music mystery romance science tv thriller war western,2012,0.09,8.0,1,104.0,en
Preston Sturges: The Rise and Fall of an American Dreamer,documentary,1990,0.0,0.0,0,75.0,en
Double Indemnity,crime drama tv thriller,1973,0.64,5.0,7,75.0,en
It's a Disaster,comedy,2013,3.54,6.0,84,86.0,en
Up In Smoke,comedy,1957,0.2,8.0,1,61.0,en
The Flaw,documentary foreign,2011,0.03,0.0,0,78.0,en
Jason Becker: Not Dead Yet,documentary music,2012,0.4,8.1,7,87.0,en
Crossfire Hurricane,documentary music,2012,1.43,7.4,14,111.0,en
True Blue,crime drama thriller,2001,0.37,6.0,2,101.0,en
Enola Gay and the Atomic Bombing of Japan,action adventure animation comedy crime documentary drama family fantasy foreign history horror music mystery romance science tv thriller war western,,0.0,0.0,0,0.0,en
Choose,crime drama horror thriller,2011,1.75,4.2,28,83.0,en
Death Race: Inferno,action science thriller,2013,8.53,5.3,231,105.0,en
Pictures of the Old World,documentary,1972,0.01,7.8,6,64.0,sk
The Pervert's Guide to Ideology,documentary,2012,1.56,7.2,33,136.0,en
A Simple Life,drama,2011,2.71,6.9,45,118.0,cn
The End of Love,drama,2013,1.35,5.8,16,89.0,en
The Color Wheel,comedy,2011,0.72,6.4,11,83.0,en
Stonehenge Apocalypse,action adventure science thriller,2010,1.01,3.5,27,91.0,en
Portrait of Wally,documentary,2012,0.06,5.0,1,90.0,en
Tom Petty and the Heartbreakers: Runnin' Down a Dream,documentary music,2007,2.23,7.8,6,239.0,en
Sundome,drama,2007,0.01,0.0,0,0.0,ja
God Save My Shoes,documentary,2012,0.08,7.0,1,60.0,en
The Psychopath,crime horror mystery thriller,1966,0.29,6.3,5,82.0,en
Not With My Wife: You Don't!,comedy,1966,0.35,5.0,1,119.0,en
The Big Picture,thriller,2010,2.03,6.4,38,114.0,fr
A Woman's Face,drama thriller,1938,0.45,6.0,2,104.0,sv
The House of Seven Corpses,horror,1974,0.98,4.9,10,90.0,en
Beyond the Hill,drama mystery,2012,1.5,6.3,7,94.0,tr
Pink Ribbons: Inc.,documentary,2011,0.49,6.8,6,97.0,en
The Erotic Man,documentary drama,2010,1.04,7.0,4,85.0,da
Angst,crime drama horror thriller,1983,4.71,7.2,63,75.0,de
LUV,crime drama,2013,0.83,5.8,17,94.0,en
Stand Up Guys,action comedy thriller,2013,5.76,5.9,327,95.0,en
Finding Joy,comedy,2013,0.75,4.5,4,96.0,en
Resident Evil: Degeneration,action animation horror science,2008,8.16,6.3,248,97.0,ja
Call Me Kuchu,documentary,2012,0.88,7.2,8,90.0,en
Resident Evil: Damnation,animation,2012,16.53,6.3,186,100.0,en
The Bang Bang Club,drama romance,2010,3.47,6.7,54,106.0,en
The Gatekeepers,documentary,2012,3.27,6.5,39,101.0,en
The Rumble in the Air: Conditioned Auditorium,comedy,2012,0.17,6.1,4,93.0,en
Sasquatch: the Legend of Bigfoot,adventure documentary mystery,1976,0.0,0.0,0,102.0,en
Right America:  Feeling Wronged,documentary,2009,0.01,0.0,0,45.0,en
The Devil's Tomb,action horror science thriller,2009,3.45,4.0,54,90.0,en
Quackser Fortune Has a Cousin in the Bronx,comedy drama romance,1970,0.0,0.0,0,90.0,en
Chinese Zodiac,action adventure,2012,11.03,6.0,266,120.0,cn
The Playroom,action adventure animation comedy crime documentary drama family fantasy foreign history horror music mystery romance science tv thriller war western,2013,1.08,6.0,6,83.0,en
Song for Marion,comedy drama music romance,2012,4.11,6.5,66,93.0,en
Fig Jam,drama romance,2011,1.74,6.9,15,94.0,tr
The World Before Her,documentary,2012,1.75,6.6,7,90.0,en
Who Killed Vincent Chin?,documentary,1987,0.02,5.0,1,87.0,en
The Act of Killing,documentary,2012,6.37,7.5,213,115.0,id
PressPausePlay,documentary foreign music,2011,0.58,7.6,8,88.0,en
U.S. Seals,action,2000,0.15,5.7,3,90.0,en
Raid on Rommel,action war,1971,2.0,5.3,13,99.0,en
The Angel Levine,drama,1970,0.0,0.0,0,106.0,en
Room 237,documentary,2012,6.15,6.2,212,102.0,en
The Amazing Johnathan: Wrong on Every Level,comedy,2006,0.06,4.0,1,44.0,en
The Mind Reader,drama mystery,1933,0.27,8.0,1,72.0,en
Patton Oswalt: No Reason to Complain,comedy,2006,0.18,7.2,5,42.0,en
Breaking The Surface: The Greg Louganis Story,drama,1997,0.54,4.9,7,95.0,tr
